budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
jails,2018-19,jails__null,2056__0,67.3116,76.8181,85.87899999999999,97.5404,level_2,jails,2,2,1,Jails,revenue expenditure,jails
jails,2019-20,jails__null,2056__0,69.76360000000001,97.5404,103.0654,113.8856,level_2,jails,2,2,2,Jails,revenue expenditure,jails
jails,2020-21,jails__null,2056__0,81.4015,113.8856,115.9631,96.53,level_2,jails,2,2,3,Jails,revenue expenditure,jails
jails,2021-22,jails__null,2056__0,80.9386,96.53,97.4124,89.75200000000001,level_2,jails,2,2,4,Jails,revenue expenditure,jails
jails,2022-23,jails__null,2056__0,71.0645,89.75200000000001,93.0546,96.4504,level_2,jails,2,2,5,Jails,revenue expenditure,jails
jails,2018-19,capital outlay on public works__office buildings,4059__1,0,7.1634,7.1634,17.292,level_2,capital outlay on public works__office buildings,2,2,6,Capital Outlay On Public Works -> Office Buildings,capital outlay,capital_outlay_on_public_works_office_buildings
jails,2019-20,capital outlay on public works__office buildings,4059__1,1.2006,25.292,25.292,23.2114,level_2,capital outlay on public works__office buildings,2,2,7,Capital Outlay On Public Works -> Office Buildings,capital outlay,capital_outlay_on_public_works_office_buildings
jails,2020-21,capital outlay on public works__office buildings,4059__1,7.2522,23.2114,23.2114,19,level_2,capital outlay on public works__office buildings,2,2,8,Capital Outlay On Public Works -> Office Buildings,capital outlay,capital_outlay_on_public_works_office_buildings
jails,2021-22,capital outlay on public works__office buildings,4059__1,17.0878,19,19,20.1116,level_2,capital outlay on public works__office buildings,2,2,9,Capital Outlay On Public Works -> Office Buildings,capital outlay,capital_outlay_on_public_works_office_buildings
jails,2022-23,capital outlay on public works__office buildings,4059__1,0.7776000000000001,20.1116,20.1116,63.332,level_2,capital outlay on public works__office buildings,2,2,10,Capital Outlay On Public Works -> Office Buildings,capital outlay,capital_outlay_on_public_works_office_buildings
jails,2018-19,jails__null__direction and administration,2056__0__1,2.435,5.580299999999999,5.9389,7.4478,level_3,jails__direction and administration,3,3,11,Jails -> Direction And Administration,direction and administration,jails_direction_and_administration
jails,2019-20,jails__null__direction and administration,2056__0__1,2.6536,7.4478,7.687799999999999,11.0165,level_3,jails__direction and administration,3,3,12,Jails -> Direction And Administration,direction and administration,jails_direction_and_administration
jails,2020-21,jails__null__direction and administration,2056__0__1,4.5462,11.0165,11.534,4.7647,level_3,jails__direction and administration,3,3,13,Jails -> Direction And Administration,direction and administration,jails_direction_and_administration
jails,2021-22,jails__null__direction and administration,2056__0__1,3.4389,4.7647,5.0878000000000005,4.598,level_3,jails__direction and administration,3,3,14,Jails -> Direction And Administration,direction and administration,jails_direction_and_administration
jails,2022-23,jails__null__direction and administration,2056__0__1,3.1243,4.598,4.638,4.6094,level_3,jails__direction and administration,3,3,15,Jails -> Direction And Administration,direction and administration,jails_direction_and_administration
jails,2018-19,jails__null__jails,2056__0__101,62.9793,68.7904,76.9264,86.84100000000001,level_3,jails__jails,3,3,16,Jails -> Jails,jails,jails_jails
jails,2019-20,jails__null__jails,2056__0__101,64.824700000000007,86.84100000000001,92.126,99.0346,level_3,jails__jails,3,3,17,Jails -> Jails,jails,jails_jails
jails,2020-21,jails__null__jails,2056__0__101,74.65,99.0346,100.5946,88.5579,level_3,jails__jails,3,3,18,Jails -> Jails,jails,jails_jails
jails,2021-22,jails__null__jails,2056__0__101,74.9897,88.5579,89.1172,81.042,level_3,jails__jails,3,3,19,Jails -> Jails,jails,jails_jails
jails,2022-23,jails__null__jails,2056__0__101,65.8238,81.042,84.30460000000001,87.3489,level_3,jails__jails,3,3,20,Jails -> Jails,jails,jails_jails
jails,2018-19,jails__null__jail manufacturers,2056__0__102,1.1024,1.5213,1.8088,2.0191999999999997,level_3,jails__jail manufacturers,3,3,21,Jails -> Jail Manufacturers,jail manufacturers,jails_jail_manufacturers
jails,2019-20,jails__null__jail manufacturers,2056__0__102,1.4706,2.0191999999999997,2.0191999999999997,2.2128,level_3,jails__jail manufacturers,3,3,22,Jails -> Jail Manufacturers,jail manufacturers,jails_jail_manufacturers
jails,2020-21,jails__null__jail manufacturers,2056__0__102,1.1268,2.2128,2.2128,1.788,level_3,jails__jail manufacturers,3,3,23,Jails -> Jail Manufacturers,jail manufacturers,jails_jail_manufacturers
jails,2021-22,jails__null__jail manufacturers,2056__0__102,1.3976,1.788,1.788,2.8152,level_3,jails__jail manufacturers,3,3,24,Jails -> Jail Manufacturers,jail manufacturers,jails_jail_manufacturers
jails,2022-23,jails__null__jail manufacturers,2056__0__102,1.1485,2.8152,2.8152,2.9596,level_3,jails__jail manufacturers,3,3,25,Jails -> Jail Manufacturers,jail manufacturers,jails_jail_manufacturers
jails,2018-19,jails__null__other expenditure,2056__0__800,0.7948999999999999,0.9261,1.2049,1.2324,level_3,jails__other expenditure,3,3,26,Jails -> Other Expenditure,other expenditure,jails_other_expenditure
jails,2019-20,jails__null__other expenditure,2056__0__800,0.8147,1.2324,1.2324,1.6217,level_3,jails__other expenditure,3,3,27,Jails -> Other Expenditure,other expenditure,jails_other_expenditure
jails,2020-21,jails__null__other expenditure,2056__0__800,1.0845,1.6217,1.6217,1.4194,level_3,jails__other expenditure,3,3,28,Jails -> Other Expenditure,other expenditure,jails_other_expenditure
jails,2021-22,jails__null__other expenditure,2056__0__800,1.1325,1.4194,1.4194,1.2968000000000002,level_3,jails__other expenditure,3,3,29,Jails -> Other Expenditure,other expenditure,jails_other_expenditure
jails,2022-23,jails__null__other expenditure,2056__0__800,0.9902,1.2968000000000002,1.2968000000000002,1.5325,level_3,jails__other expenditure,3,3,30,Jails -> Other Expenditure,other expenditure,jails_other_expenditure
jails,2018-19,jails__null__direction and administration__head quarters establishment,2056__0__1__172,1.9554,4.9786,5.1812000000000005,6.7115,level_4,jails__direction and administration__head quarters establishment,4,4,31,Jails -> Direction And Administration -> Head Quarters Establishment,direction and administration,jails_direction_and_administration_head_quarters_establishment
jails,2019-20,jails__null__direction and administration__head quarters establishment,2056__0__1__172,2.0999,6.7115,6.951499999999999,10.2416,level_4,jails__direction and administration__head quarters establishment,4,4,32,Jails -> Direction And Administration -> Head Quarters Establishment,direction and administration,jails_direction_and_administration_head_quarters_establishment
jails,2020-21,jails__null__direction and administration__head quarters establishment,2056__0__1__172,4.0195,10.2416,10.6416,3.8758,level_4,jails__direction and administration__head quarters establishment,4,4,33,Jails -> Direction And Administration -> Head Quarters Establishment,direction and administration,jails_direction_and_administration_head_quarters_establishment
